scientific_name,common_name,order,family,iucn_status,rare_accidental,wpa_schedule,soib_priority,wh_endemic,n_recordings
Otus lettia,Collared Scops-Owl,Strigiformes,Strigidae,,no,Schedule-II,,no,0
Otus scops,Eurasian Scops-Owl,Strigiformes,Strigidae,,no,Schedule-II,,no,0
Otus spilocephalus,Mountain Scops-Owl,Strigiformes,Strigidae,,no,Schedule-II,,no,0
Oxyura leucocephala,White-headed Duck,Anseriformes,Anatidae,Endangered,no,Schedule-I,,no,0
Pachyglossa agilis,Thick-billed Flowerpecker,Passeriformes,Dicaeidae,,no,Schedule-II,High,no,0
Pandion haliaetus,Osprey,Accipitriformes,Pandionidae,,no,Schedule-I,High,no,0
Passer hispaniolensis,Spanish Sparrow,Passeriformes,Passeridae,,no,Schedule-II,,no,0
Passer montanus,Eurasian Tree Sparrow,Passeriformes,Passeridae,,no,,,no,0
Passer pyrrhonotus,Sind Sparrow,Passeriformes,Passeridae,,no,Schedule-II,Low,no,0
Pastor roseus,Rosy Starling,Passeriformes,Sturnidae,,no,Schedule-II,Moderate,no,0
Pavo cristatus,Indian Peafowl,Galliformes,Phasianidae,,no,Schedule-I,Low,no,0
Pelecanus crispus,Dalmatian Pelican,Pelecaniformes,Pelecanidae,Near-threatened,no,,,no,0
Pellorneum ruficeps,Puff-throated Babbler,Passeriformes,Pellorneidae,,no,Schedule-II,Low,no,0
Perdicula asiatica,Jungle Bush-Quail,Galliformes,Phasianidae,,no,Schedule-II,Low,no,0
Perdix hodgsoniae,Tibetan Partridge,Galliformes,Phasianidae,,no,,,no,0
Pericrocotus cinnamomeus,Small Minivet,Passeriformes,Campephagidae,,no,Schedule-I,Low,no,0
Pericrocotus flammeus,Orange Minivet,Passeriformes,Campephagidae,,no,,,no,0
Pericrocotus roseus,Rosy Minivet,Passeriformes,Campephagidae,,no,Schedule-II,Low,no,0
Pericrocotus speciosus,Scarlet Minivet,Passeriformes,Campephagidae,,no,,,no,0
Periparus rubidiventris,Rufous-vented Tit,Passeriformes,Paridae,,no,Schedule-II,High,no,0
Pernis ptilorhynchus,Oriental Honey-buzzard,Accipitriformes,Accipitridae,,no,Schedule-II,Low,no,0
Petronia petronia,Rock Sparrow,Passeriformes,Passeridae,,no,,,no,0
Phalacrocorax carbo,Great Cormorant,Suliformes,Phalacrocoracidae,,no,Schedule-II,Low,no,0
Phalacrocorax fuscicollis,Indian Cormorant,Suliformes,Phalacrocoracidae,,no,,,no,0
Phalaropus lobatus,Red-necked Phalarope,Charadriiformes,Scolopacidae,,no,Schedule-II,,no,0
Phoenicopterus roseus,Greater Flamingo,Phoenicopteriformes,Phoenicopteridae,,no,,,no,0
Phoenicurus auroreus,Daurian Redstart,Passeriformes,Muscicapidae,,no,,,no,0
Phoenicurus coeruleocephala,Blue-capped Redstart,Passeriformes,Muscicapidae,,no,Schedule-II,Moderate,no,0
Phoenicurus erythronotus,Rufous-backed Redstart,Passeriformes,Muscicapidae,,no,Schedule-II,,no,0
Phoenicurus frontalis,Blue-fronted Redstart,Passeriformes,Muscicapidae,,no,Schedule-II,Moderate,no,0
Phoenicurus hodgsoni,Hodgson's Redstart,Passeriformes,Muscicapidae,,no,,,no,0
Phoenicurus phoenicurus,Common Redstart,Passeriformes,Muscicapidae,,yes,Schedule-II,,no,0
Phylloscopus borealis,Arctic Warbler,Passeriformes,Phylloscopidae,,yes,,,no,0
Phylloscopus burkii,Green-crowned Warbler,Passeriformes,Phylloscopidae,,no,,,no,0
