scientific_name,common_name,order,family,iucn_status,rare_accidental,wpa_schedule,soib_priority,wh_endemic
Falco peregrinus,Peregrine Falcon,Falconiformes,Falconidae,,no,Schedule-I,Low,no
Falco severus,Oriental Hobby,Falconiformes,Falconidae,,no,Schedule-II,Moderate,no
Falco tinnunculus,Eurasian Kestrel,Falconiformes,Falconidae,,no,Schedule-II,High,no
Falco vespertinus,Red-footed Falcon,Falconiformes,Falconidae,Vulnerable,yes,,,no
Ficedula albicilla,Taiga Flycatcher,Passeriformes,Muscicapidae,,yes,Schedule-II,,no
Ficedula erithacus,Slaty-backed Flycatcher,Passeriformes,Muscicapidae,,no,,,no
Ficedula hyperythra,Snowy-browed Flycatcher,Passeriformes,Muscicapidae,,no,,,no
Ficedula parva,Red-breasted Flycatcher,Passeriformes,Muscicapidae,,no,Schedule-II,Low,no
Ficedula strophiata,Rufous-gorgeted Flycatcher,Passeriformes,Muscicapidae,,no,Schedule-II,High,no
Ficedula westermanni,Little Pied Flycatcher,Passeriformes,Muscicapidae,,no,,,no
Fringilla coelebs,Common Chaffinch,Passeriformes,Fringillidae,,no,Schedule-II,,no
Fringilla montifringilla,Brambling,Passeriformes,Fringillidae,,no,Schedule-II,,no
Fulica atra,Eurasian Coot,Gruiformes,Rallidae,,no,Schedule-II,Low,no
Fulvetta vinipectus,White-browed Fulvetta,Passeriformes,Paradoxornithidae,,no,,,no
Gallicrex cinerea,Watercock,Gruiformes,Rallidae,,no,,,no
Gallinago gallinago,Common Snipe,Charadriiformes,Scolopacidae,,no,Schedule-II,Low,no
Gallinago solitaria,Solitary Snipe,Charadriiformes,Scolopacidae,,no,Schedule-II,,no
Gallinago stenura,Pin-tailed Snipe,Charadriiformes,Scolopacidae,,no,Schedule-II,High,no
Garrulax leucolophus,White-crested Laughingthrush,Passeriformes,Leiothrichidae,,no,Schedule-II,Low,no
Garrulus lanceolatus,Black-headed Jay,Passeriformes,Corvidae,,no,Schedule-II,Moderate,no
Gelochelidon nilotica,Gull-billed Tern,Charadriiformes,Laridae,,no,Schedule-I,High,no
Geokichla citrina,Orange-headed Thrush,Passeriformes,Turdidae,,no,Schedule-II,Moderate,no
Geokichla wardii,Pied Thrush,Passeriformes,Turdidae,,no,,,no
Glareola lactea,Small Pratincole,Charadriiformes,Glareolidae,,no,Schedule-II,Moderate,no
Glareola maldivarum,Oriental Pratincole,Charadriiformes,Glareolidae,,no,Schedule-II,Low,no
Glareola pratincola,Collared Pratincole,Charadriiformes,Glareolidae,,no,Schedule-II,,no
Glaucidium cuculoides,Asian Barred Owlet,Strigiformes,Strigidae,,no,Schedule-II,Low,no
Glaucidium radiatum,Jungle Owlet,Strigiformes,Strigidae,,no,,,no
Gracupica contra,Indian Pied Starling,Passeriformes,Sturnidae,,no,Schedule-II,Low,no
Grammatoptila striata,Striated Laughingthrush,Passeriformes,Leiothrichidae,,no,,,no
Grandala coelicolor,Grandala,Passeriformes,Turdidae,,no,Schedule-II,Moderate,no
Grus grus,Common Crane,Gruiformes,Gruidae,,no,Schedule-I,High,no
Grus virgo,Demoiselle Crane,Gruiformes,Gruidae,,no,,,no
Gymnoris xanthocollis,Yellow-throated Sparrow,Passeriformes,Passeridae,,no,Schedule-II,Low,no
Gypaetus barbatus,Bearded Vulture,Accipitriformes,Accipitridae,Near-threatened,no,Schedule-I,High,no
Gyps fulvus,Eurasian Griffon,Accipitriformes,Accipitridae,,no,Schedule-I,High,no
Gyps himalayensis,Himalayan Griffon,Accipitriformes,Accipitridae,Near-threatened,no,Schedule-I,Moderate,no
Gyps tenuirostris,Slender-billed Vulture,Accipitriformes,Accipitridae,Critically endangered,no,,,no
Haematopus ostralegus,Eurasian Oystercatcher,Charadriiformes,Haematopodidae,Near-threatened,no,Schedule-II,High,no
Halcyon smyrnensis,White-throated Kingfisher,Coraciiformes,Alcedinidae,,no,Schedule-II,Low,no
Haliaeetus albicilla,White-tailed Eagle,Accipitriformes,Accipitridae,,no,Schedule-I,,no
Haliaeetus leucoryphus,Pallas's Fish-Eagle,Accipitriformes,Accipitridae,Endangered,no,Schedule-I,High,no
Haliastur indus,Brahminy Kite,Accipitriformes,Accipitridae,,no,Schedule-I,Low,no
Hemiprocne coronata,Crested Treeswift,Apodiformes,Hemiprocnidae,,no,,,no
Heterophasia capistrata,Rufous Sibia,Passeriformes,Leiothrichidae,,no,Schedule-II,Low,no
Hieraaetus pennatus,Booted Eagle,Accipitriformes,Accipitridae,,no,Schedule-I,Low,no
